symbol,name,last,change,changePct
EXR,Extra Space Storage Inc Common Stock,193.41,3.72,1.961
F,Ford Motor Company Common Stock,16.58,0.52,3.238
FBHS,Fortune Brands Home & Security Inc. Common Stock,85.52,1.20,1.423
FCX,Freeport-McMoRan Inc. Common Stock,46.42,2.14,4.833
FDX,FedEx Corporation Common Stock,225.93,9.70,4.486
FE,FirstEnergy Corp. Common Stock,43.88,-0.31,-0.702
FERG,Ferguson plc Ordinary Shares,144.39,-1.27,-0.872
FHN,First Horizon Corporation Common Stock,23.05,-0.11,-0.475
FICO,Fair Isaac Corproation Common Stock,483.72,5.04,1.053
FIS,Fidelity National Information Services Inc. Common Stock,95.38,2.78,3.002
FLT,FleetCor Technologies Inc. Common Stock,236.53,7.12,3.104
FMC,FMC Corporation Common Stock,126.13,-1.55,-1.214
FMS,Fresenius Medical Care AG Common Stock,33.63,1.28,3.957
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,79.61,0.41,0.518
FND,Floor & Decor Holdings Inc. Common Stock,99.18,3.19,3.323
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,49.38,0.98,2.025
FNV,Franco-Nevada Corporation,154.26,-0.34,-0.22
FRC,FIRST REPUBLIC BANK Common Stock,169.38,8.39,5.212
FTS,Fortis Inc. Common Shares,47.65,0.49,1.039
FTV,Fortive Corporation Common Stock ,59.58,2.59,4.545
GD,General Dynamics Corporation Common Stock,227.69,-9.93,-4.179
GDDY,GoDaddy Inc. Class A Common Stock,77.29,0.73,0.954
GE,General Electric Company Common Stock,94.70,2.35,2.545
GFI,Gold Fields Limited American Depositary Shares,15.73,-0.22,-1.379
GFL,GFL Environmental Inc. Subordinate voting shares no par value,29.66,1.22,4.29
GGG,Graco Inc. Common Stock,70.21,1.24,1.798
GIB,CGI Inc. Common Stock,81.53,1.94,2.437
GIS,General Mills Inc. Common Stock,62.65,-0.63,-0.996
GLOB,Globant S.A. Common Shares,263.34,26.97,11.41
GLW,Corning Incorporated Common Stock,37.31,0.72,1.968
GM,General Motors Company Common Stock,43.85,1.72,4.083
GNRC,Generac Holdlings Inc. Common Stock,305.46,18.48,6.439
GOLD,Barrick Gold Corporation Common Stock (BC),23.61,-0.16,-0.673
GPC,Genuine Parts Company Common Stock,128.07,3.54,2.843
GPN,Global Payments Inc. Common Stock,133.55,5.05,3.93
GRMN,Garmin Ltd. Common Stock (Switzerland),111.93,2.24,2.042
GS,Goldman Sachs Group Inc. (The) Common Stock,340.76,11.60,3.524
GSK,GlaxoSmithKline PLC Common Stock,42.10,0.40,0.959
GWW,W.W. Grainger Inc. Common Stock,491.18,-6.57,-1.32
H,Hyatt Hotels Corporation Class A Common Stock,94.05,3.35,3.693
HAL,Halliburton Company Common Stock,34.00,-0.80,-2.299
HCA,HCA Healthcare Inc. Common Stock,266.35,-0.82,-0.307
HDB,HDFC Bank Limited Common Stock,61.64,1.53,2.545
HEI,Heico Corporation Common Stock,144.85,-1.53,-1.045
HES,Hess Corporation Common Stock,94.75,1.67,1.794
HIG,Hartford Financial Services Group Inc. (The) Common Stock,69.74,1.65,2.423
HLT,Hilton Worldwide Holdings Inc. Common Stock ,150.79,6.55,4.541
HMC,Honda Motor Company Ltd. Common Stock,28.28,1.12,4.124
HPE,Hewlett Packard Enterprise Company Common Stock,16.76,0.23,1.391
HPQ,HP Inc. Common Stock,35.81,0.95,2.725
HRL,Hormel Foods Corporation Common Stock,49.37,0.18,0.366
HSBC,HSBC Holdings plc. Common Stock,32.68,1.13,3.582
HSY,The Hershey Company Common Stock,205.70,-3.12,-1.494
HUBB,Hubbell Inc Common Stock,187.63,5.26,2.884
HUBS,HubSpot Inc. Common Stock,448.16,44.69,11.076
HUM,Humana Inc. Common Stock,442.82,2.95,0.671
HWM,Howmet Aerospace Inc. Common Stock,34.93,0.83,2.434
IBM,International Business Machines Corporation Common Stock,127.04,1.40,1.114
IBN,ICICI Bank Limited Common Stock,18.80,0.45,2.452
ICE,Intercontinental Exchange Inc. Common Stock,131.62,1.36,1.044
ICL,ICL Group Ltd. Ordinary Shares,10.39,-0.25,-2.35
IEX,IDEX Corporation Common Stock,196.13,3.45,1.791
IFF,International Flavors & Fragrances Inc. Common Stock,124.98,4.50,3.735
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),69.80,3.89,5.902
INFY,Infosys Limited American Depositary Shares,25.11,0.92,3.803
ING,ING Group N.V. Common Stock,10.60,0.62,6.212
INVH,Invitation Homes Inc. Common Stock,39.80,0.30,0.759
IP,International Paper Company Common Stock,44.16,0.97,2.246
IPG,Interpublic Group of Companies Inc. (The) Common Stock,36.25,1.41,4.047
IQV,IQVIA Holdings Inc. Common Stock,220.27,5.26,2.446
IR,Ingersoll Rand Inc. Common Stock,50.20,1.80,3.719
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,49.11,0.43,0.883
IT,Gartner Inc. Common Stock,288.12,8.53,3.051
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),4.97,0.13,2.686
ITW,Illinois Tool Works Inc. Common Stock,209.99,1.54,0.739
IX,Orix Corp Ads Common Stock,98.41,3.33,3.502
J,Jacobs Engineering Group Inc. Common Stock,135.68,4.47,3.407
JCI,Johnson Controls International plc Ordinary Share,64.62,3.13,5.09
JHX,James Hardie Industries plc American Depositary Shares (Ireland),33.35,1.36,4.251
JLL,Jones Lang LaSalle Incorporated Common Stock,237.49,13.81,6.174
JNPR,Juniper Networks Inc. Common Stock,34.17,-0.21,-0.611
K,Kellogg Company Common Stock,60.96,-0.36,-0.587
KB,KB Financial Group Inc,47.47,1.74,3.805
KEP,Korea Electric Power Corporation Common Stock,10.18,0.25,2.518
KEY,KeyCorp Common Stock,24.36,0.52,2.181
KEYS,Keysight Technologies Inc. Common Stock,154.41,4.75,3.174
KIM,Kimco Realty Corporation Common Stock,23.87,0.22,0.93
KKR,KKR & Co. Inc. Common Stock,55.46,3.38,6.49
KMB,Kimberly-Clark Corporation Common Stock,121.42,0.37,0.306
KMI,Kinder Morgan Inc. Common Stock,17.25,-0.07,-0.404
KMX,CarMax Inc,102.02,1.10,1.09
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),52.41,1.39,2.724
KR,Kroger Company (The) Common Stock,54.99,-1.20,-2.136
